userId,type,rating
0,Aerobics (senaman aerobik),1.0
0,Brisk Walking (berjalan pantas),3.0
0,Circuit Training,5.0
0,Cycle Ergometer (berbasikal),3.0
0,Cycling (berbasikal),2.0
0,Dancing (menari),5.0
0,Elliptical (menaiki mesin eliptikal),1.0
0,Hiking (merentas hutan),5.0
0,Jogging Outdoors (berlari di luar),4.0
0,Jogging on Treadmill (berlari),1.0
0,Jump Rope (lompat tali),1.0
0,Lower Body Resistance Exercise (latihan bebanan anggota bawah),4.0
0,Recumbent cycle Ergometer (mengayuh basikal duduk),3.0
0,Rower (menggunakan mesin rower),1.0
0,Stair Climbing (latihan memanjat tangga),1.0
0,Swimming (berenang),5.0
0,Tai Chi,1.0
0,Upper Body Resistance Exercise (latihan bebanan anggota atas),4.0
0,Walking Outdoors (berjalan diluar),5.0
0,Walking on Treadmill (berjalan),3.0
1,Aerobics (senaman aerobik),2.0
1,Brisk Walking (berjalan pantas),4.0
1,Circuit Training,2.0
1,Cycle Ergometer (berbasikal),2.0
1,Cycling (berbasikal),2.0
1,Dancing (menari),2.0
1,Elliptical (menaiki mesin eliptikal),2.0
1,Hiking (merentas hutan),4.0
1,Jogging Outdoors (berlari di luar),4.0
1,Jogging on Treadmill (berlari),4.0
1,Jump Rope (lompat tali),2.0
1,Lower Body Resistance Exercise (latihan bebanan anggota bawah),2.0
1,Recumbent cycle Ergometer (mengayuh basikal duduk),2.0
1,Rower (menggunakan mesin rower),2.0
1,Stair Climbing (latihan memanjat tangga),4.0
1,Swimming (berenang),3.0
1,Tai Chi,4.0
1,Upper Body Resistance Exercise (latihan bebanan anggota atas),2.0
1,Walking Outdoors (berjalan diluar),4.0
1,Walking on Treadmill (berjalan),3.0
2,Aerobics (senaman aerobik),5.0
2,Brisk Walking (berjalan pantas),5.0
2,Circuit Training,5.0
2,Cycle Ergometer (berbasikal),3.0
2,Cycling (berbasikal),1.0
2,Dancing (menari),4.0
2,Elliptical (menaiki mesin eliptikal),3.0
2,Hiking (merentas hutan),3.0
2,Jogging Outdoors (berlari di luar),3.0
2,Jogging on Treadmill (berlari),3.0
2,Jump Rope (lompat tali),3.0
2,Lower Body Resistance Exercise (latihan bebanan anggota bawah),3.0
2,Recumbent cycle Ergometer (mengayuh basikal duduk),3.0
2,Rower (menggunakan mesin rower),1.0
2,Stair Climbing (latihan memanjat tangga),3.0
2,Swimming (berenang),1.0
2,Tai Chi,3.0
2,Upper Body Resistance Exercise (latihan bebanan anggota atas),1.0
2,Walking Outdoors (berjalan diluar),4.0
2,Walking on Treadmill (berjalan),3.0
3,Aerobics (senaman aerobik),1.0
3,Brisk Walking (berjalan pantas),5.0
3,Circuit Training,2.0
3,Cycle Ergometer (berbasikal),3.0
3,Cycling (berbasikal),4.0
3,Dancing (menari),5.0
3,Elliptical (menaiki mesin eliptikal),3.0
3,Hiking (merentas hutan),4.0
3,Jogging Outdoors (berlari di luar),2.0
3,Jogging on Treadmill (berlari),3.0
3,Jump Rope (lompat tali),1.0
3,Lower Body Resistance Exercise (latihan bebanan anggota bawah),1.0
3,Recumbent cycle Ergometer (mengayuh basikal duduk),3.0
3,Rower (menggunakan mesin rower),1.0
3,Stair Climbing (latihan memanjat tangga),1.0
3,Swimming (berenang),4.0
3,Tai Chi,2.0
3,Upper Body Resistance Exercise (latihan bebanan anggota atas),1.0
3,Walking Outdoors (berjalan diluar),5.0
3,Walking on Treadmill (berjalan),5.0
4,Aerobics (senaman aerobik),4.0
4,Brisk Walking (berjalan pantas),5.0
4,Circuit Training,3.0
4,Cycle Ergometer (berbasikal),4.0
4,Cycling (berbasikal),4.0
4,Dancing (menari),4.0
4,Elliptical (menaiki mesin eliptikal),4.0
4,Hiking (merentas hutan),4.0
4,Jogging Outdoors (berlari di luar),4.0
4,Jogging on Treadmill (berlari),3.0
4,Jump Rope (lompat tali),3.0
4,Lower Body Resistance Exercise (latihan bebanan anggota bawah),3.0
4,Recumbent cycle Ergometer (mengayuh basikal duduk),4.0
4,Rower (menggunakan mesin rower),3.0
4,Stair Climbing (latihan memanjat tangga),4.0
4,Swimming (berenang),4.0
4,Tai Chi,5.0
4,Upper Body Resistance Exercise (latihan bebanan anggota atas),4.0
4,Walking Outdoors (berjalan diluar),5.0
4,Walking on Treadmill (berjalan),3.0
5,Aerobics (senaman aerobik),3.0
5,Brisk Walking (berjalan pantas),5.0
5,Circuit Training,4.0
5,Cycle Ergometer (berbasikal),4.0
5,Cycling (berbasikal),2.0
5,Dancing (menari),4.0
5,Elliptical (menaiki mesin eliptikal),3.0
5,Hiking (merentas hutan),5.0
5,Jogging Outdoors (berlari di luar),4.0
5,Jogging on Treadmill (berlari),4.0
